Question,Class,Head,Head_POS,Neck_Label,Root_POS,PER,LOC,OBJ,TEM,NUM
What's the nickname of oddsmaker Jimmy Snyder ?,HUM,What,WP,ROOT,VBZ,1,0,0,0,0
What was Queen Victoria's title regarding India ?,HUM,What,WP,ROOT,VBD,1,1,0,0,0
Whose autobiography is titled Yes I Can ?,HUM,Whose,WP$,np,VBN,0,0,0,0,0
What double talking '' professor '' holds a doctorate in Nothing ?,HUM,What,WP,np,VBZ,0,0,0,0,0
What 19th-century writer had a country estate on the Hudson dubbed Sunnyside ?,HUM,What,WDT,np,VBD,0,1,0,1,0
What was the name of the cook on Rawhide ?,HUM,What,WP,ROOT,VBD,0,1,0,0,0
What author landed a 468-pound marlin without harness in the early 193's ?,HUM,What,WDT,np,VBD,0,0,0,0,0
What former major-league left-handed baseball pitcher was known as '' Space Man '' ?,HUM,What,WDT,np,VBN,0,0,0,0,0
What was Michelangelo's last name ?,HUM,What,WP,ROOT,VBD,1,0,0,0,0
Who is Barbara Jordan ?,HUM,Who,WP,ROOT,VBZ,1,0,0,0,0
Who was the Democratic nominee in the American presidential election ?,HUM,Who,WP,ROOT,VBD,1,0,0,0,0
What President-to-be was the first member of Congress to enlist following the attack on Pearl Harbor ?,HUM,What,WP,nc,VBD,0,1,0,0,1
What college produced the most winning Super Bowl quarterbacks ?,HUM,What,WDT,np,VBD,0,0,1,0,0
What classical Spanish writer warned : '' All that glitters is not gold '' ?,HUM,What,WDT,np,VBD,1,0,0,0,0
What actor married John F. Kennedy's sister ?,HUM,What,WDT,np,VBD,1,0,0,0,0
Who fired Maria Ybarra from her position in San Diego council ?,HUM,Who,WP,ROOT,VBD,1,1,0,0,0
Who was the first black golfer to tee off in the Masters ?,HUM,Who,WP,ROOT,VBD,1,0,0,0,1
What U.S. President showed a fondness for munching on bee pollen bars ?,HUM,What,WP,nc,VBD,0,1,0,0,0
Whose cover is that of an employee of Universal Import and Export ?,HUM,Whose,WP$,np,VBZ,0,1,0,0,0
What former president's daughter has written a book titled Murder in the White House ?,HUM,What,WDT,np,VBN,0,0,1,0,0
What fictional character is known as the '' melancholy Dane '' ?,HUM,What,WDT,np,VBN,0,0,0,0,0
What longtime game show host dropped dead while jogging in Central Park in 1984 ?,HUM,What,WDT,np,VBD,0,1,0,1,0
Who were the '' filthiest people alive ? '',HUM,Who,WP,ROOT,VBD,0,0,0,0,0
What is the real name of disc jockey '' Wolfman Jack '' ?,HUM,What,WP,ROOT,NNP,0,0,1,0,0
Who invented silly putty ?,HUM,Who,WP,ROOT,VBD,0,0,0,0,0
Who patented the first phonograph ?,HUM,Who,WP,ROOT,VBD,0,0,0,0,1
Who created private detective Philip Marlowe ?,HUM,Who,WP,ROOT,VBD,1,0,0,0,0
Who is Colin Powell ?,HUM,Who,WP,ROOT,VBZ,1,0,0,0,0
Who coined the term NN cyberspace '' in his novel NN Neuromancer '' ?,HUM,Who,WP,ROOT,VBD,0,1,0,0,0
What is her profession ?,HUM,What,WP,ROOT,VBZ,0,0,0,0,0
What is the full name of the man who invented the multicolored game cube that has 42.3 quintillion potential combinations ?,HUM,What,WP,ROOT,VBZ,0,0,0,0,1
Who was Lauren Bacall's first husband ?,HUM,Who,WP,ROOT,VBD,0,1,0,0,1
Who created the character of Scrooge ?,HUM,Who,WP,ROOT,VBD,0,0,0,0,0
What party was Winston Churchill a member of ?,HUM,What,WDT,np,VBD,1,0,0,0,0
What American League baseball team's worst finish between 1926 and 1964 was fourth ?,HUM,What,WP,nc,VBD,0,1,0,1,1
Who was the author of '' John Brown's Body '' ?,HUM,Who,WP,ROOT,VBD,1,0,0,0,0
What American poet wrote : '' Good fences make good neighbors '' ?,HUM,What,WP,np,VBD,1,0,0,0,0
What was the occupation of Mandy Rice-Davies ?,HUM,What,WP,ROOT,VBD,1,0,0,0,0
Who painted the Sistine Chapel ?,HUM,Who,WP,ROOT,VBD,0,0,0,0,0
Name the various costumed personas of Dr. Henry Pym .,HUM,Name,VB,np,VB,1,0,0,0,0
What explorers followed Columbus to the Americas ?,HUM,What,WP,np,VBD,0,1,0,0,0
Who is actress Goldie Hawn's current actor boyfriend ?,HUM,Who,WP,ROOT,VBZ,1,0,0,0,0
Who banned Peter Rose from baseball for betting on games ?,HUM,Who,WP,ROOT,VBD,1,0,0,0,0
What are the names of Richard Nixon's two daughters ?,HUM,What,WP,ROOT,VBP,1,0,0,0,1
What organization was founded by the Rev. Jerry Falwell ?,HUM,What,WDT,np,VBN,1,0,0,0,0
What company is being bought by Yahoo and how much is the deal worth ?,HUM,What,WDT,np,VBN,0,1,0,0,0
Who was nicknamed The Little Corporal ?,HUM,Who,WP,auxpass,VBN,0,1,0,0,0
What was American folk hero John Chapman's nickname ?,HUM,What,WP,ROOT,VBD,1,0,0,0,0
What author did photographer Yousuf Karsh call '' the shiest man I ever met '' ?,HUM,What,WDT,np,IN,1,0,0,0,0
What barroom judge called himself The Law West of the Pecos ?,HUM,What,WDT,nc,VBD,0,1,0,0,0
Who was President of Costa Rica in 1994 ?,HUM,Who,WP,ROOT,VBD,0,1,0,1,0
Who was chairman of the Senate select committee that tried to get to the bottom of Watergate ?,HUM,Who,WP,ROOT,VBD,0,1,1,0,0
Who is the voice of Miss Piggy ?,HUM,Who,WP,ROOT,VBZ,0,1,0,0,0
Who replaced Bert Parks as the host of The Miss America Pageant ?,HUM,Who,WP,ROOT,VBD,1,1,0,0,0
Who was the first person inducted into the U.S. Swimming Hall of Fame ?,HUM,Who,WP,ROOT,VBD,0,1,0,0,1
What golfer has been called Ohio Fats and Blobbo ?,HUM,What,WDT,np,VBN,0,1,0,0,0
Who murdered Leno and Rosemary LaBianca on August 1,HUM,Who,WP,ROOT,VBD,1,0,0,1,0
Which of the following men was not married to Rita Hayworth ?,HUM,Which,WDT,prep,VBN,1,0,0,0,0
Who was the Charlie perfume woman ?,HUM,Who,WP,ROOT,VBD,1,0,0,0,0
Who portrayed '' Rosanne Rosanna-Dana '' on the television show '' Saturday Night Live '' ?,HUM,Who,WP,ROOT,NNP,0,0,1,0,0
What was the backup singing group for Roy Rogers ?,HUM,What,WP,ROOT,VBD,1,0,0,0,0
What famous singing cowboy owns the California Angels baseball team ?,HUM,What,WDT,np,VBZ,0,1,0,0,0
Who was Gerald Ford's vice president ?,HUM,Who,WP,ROOT,VBD,1,0,0,0,0
Who invented batteries ?,HUM,Who,WP,ROOT,VBD,0,0,0,0,0
What title did Suzette Charles assume for two months in 1984 ?,HUM,What,WDT,np,VBP,1,0,0,1,0
What was the infamous pseudonym of Peter Sutcliffe ?,HUM,What,WP,ROOT,VBD,1,0,0,0,0
What is Nicholas Cage's occupation ?,HUM,What,WP,ROOT,VBZ,1,0,0,0,0
What Japanese manufacturer is known for both its pianos and its motorcycles ?,HUM,What,WP,np,VBN,1,0,0,0,0
Who did Sonny Liston succeed as world heavyweight boxing champion ?,HUM,Who,WP,aux,VB,1,0,0,0,0
Name the various super-teams to which the Angel has belonged .,HUM,Name,VB,np,VBN,0,0,0,0,0
What President dispatched a cruiser to carry Charles Lindbergh home after his epic flight ?,HUM,What,WP,np,VBD,1,0,0,0,0
Whose video is titled Shape Up with Arnold ?,HUM,Whose,WP$,np,VBN,1,0,0,0,0
Who's the twin brother of the Greek goddess Artemis ?,HUM,Who,WP,ROOT,VBZ,1,0,0,0,0
Who was America's first Public Enemy No. 1 ?,HUM,Who,WP,ROOT,VBD,0,1,0,0,1
Who is Dear Abby ?,HUM,Who,WP,ROOT,VBZ,1,0,0,0,0
Who was Monet ?,HUM,Who,WP,ROOT,VBD,1,0,0,0,0
Who was the famous door-to-door brush salesman ?,HUM,Who,WP,ROOT,VBD,0,0,0,0,0
Who is always trying to get the rent from Andy Capp ?,HUM,Who,WP,aux,VBG,1,0,0,0,0
Who did Jackie Kennedy commission to write The Death of a President ?,HUM,Who,WP,aux,NN,1,0,0,0,0
Who sought to create The Great Society ?,HUM,Who,WP,ROOT,VBD,0,1,0,0,0
Who said : '' Soldiers win the battles and generals get the credit '' ?,HUM,Who,WP,ROOT,VBD,0,0,0,0,0
Who is the current UN Secretary General ?,HUM,Who,WP,ROOT,VBZ,0,1,0,0,0
What organization did Mr. Waverly assign agents for ?,HUM,What,WDT,np,VBD,1,0,0,0,0
What are the characters ' names in the Scooby-Doo cartoon ?,HUM,What,WP,ROOT,VBP,0,0,0,0,0
What was Eduard Shevardnadze's job in the Soviet Union ?,HUM,What,WP,ROOT,VBD,1,1,0,0,0
Which is the only Dick Tracy villain to appear three times ?,HUM,Which,WDT,ROOT,VBZ,1,0,0,0,1
What is Larry King's job ?,HUM,What,WP,ROOT,VBZ,1,0,0,0,0
Who was Lacan ?,HUM,Who,WP,ROOT,VBD,1,0,0,0,0
Who was the Secretary of War in the Civil War during the Battle of Gettysburg ?,HUM,Who,WP,ROOT,VBD,0,0,1,0,0
Who did Bobby Fischer beat to win the world chess championship ?,HUM,Who,WP,aux,VBD,1,0,0,0,0
Name the lawyer for Randy Craft .,HUM,Name,VB,np,VB,1,0,0,0,0
Who lives at 39 Stone Canyon Way ?,HUM,Who,WP,ROOT,VBZ,0,0,0,0,1
Who played Humpty Dumpty in the 1933 film Alice in Wonderland ?,HUM,Who,WP,ROOT,VBD,1,0,1,1,0
Who played the title role in I Was a Teenage Werewolf ?,HUM,Who,WP,np,VBD,0,0,0,0,0
What record company produced the 1978 movie The Wiz ?,HUM,What,WDT,nc,VBD,0,0,0,1,0
Who was the inventor of the stove ?,HUM,Who,WP,ROOT,VBD,0,0,0,0,0
What comedian has a legendary reputation for stealing jokes ?,HUM,What,WDT,np,VBZ,0,0,0,0,0
Who was the king who was forced to agree to the Magna Carta ?,HUM,Who,WP,np,VBD,0,1,0,0,0
Who was made the first honorary citizen of the U.S. ?,HUM,Who,WP,auxpass,VBN,0,1,0,0,1
What baseball team was routinely called '' dem bums '' by its frustrated fans ?,HUM,What,WDT,nc,VBN,0,0,0,0,0
Name of scholar on whose literal translations from the Chinese and Japanese Ezra Pound depended ?,HUM,Name,NN,prep,VBD,1,0,0,0,0
Name the On Stage character whose face was never seen .,HUM,Name,VB,np,VB,0,0,0,0,0
What is the best Internet business to go into ?,HUM,What,WP,ROOT,VBZ,0,0,0,0,0
Who is known as '' the world's oldest teenager '' ?,HUM,Who,WP,auxpass,VBN,0,0,0,0,0
What baseball team owner and sailor is known as The Mouth of the South ?,HUM,What,WDT,nc,VBN,1,0,0,0,0
Who was with Patricia Hearst the night she was kidnaped ?,HUM,Who,WP,np,VBD,1,0,0,0,0
What is the Viking Prince's first name ?,HUM,What,WP,ROOT,VBZ,0,1,0,0,1
What boxer's life story is titled Raging Bull ?,HUM,What,WDT,np,VBN,0,1,0,0,0
Who advised listeners to '' see the U.S.A. in your Chevrolet '' ?,HUM,Who,WP,ROOT,VBD,0,1,0,0,0
What Nobel laureate was expelled from the Philippines before the conference on East Timor ?,HUM,What,WP,nc,VBN,0,1,1,0,0
Which Bourbon king was restored to the French throne during Napoleon's abdication ?,HUM,Which,WDT,nc,VBN,1,1,0,0,0
What daughter of Henry VIII and Anne Boleyn became queen of England ?,HUM,What,WDT,np,VBD,1,1,0,0,0
What's the most common nickname of U.S. college football teams ?,HUM,What,WP,ROOT,VBZ,0,1,0,0,0
What comedienne upstaged Dwight D. Eisenhower's first inauguration by giving birth to her first child ?,HUM,What,WDT,nc,NNS,1,0,0,0,1
Who sang about Desmond and Molly Jones ?,HUM,Who,WP,ROOT,VBD,1,0,0,0,0
What costume designer decided that Michael Jackson should only wear one glove ?,HUM,What,WDT,np,VBD,1,0,0,0,0
What company was the original sponsor of TV's Superman ?,HUM,What,WDT,np,VBD,0,0,0,0,0
Name the blind sculptress in love with the Fantastic Four's Thing .,HUM,Name,VB,np,VB,0,0,0,0,1
What National Basketball Association superstar told his story in Giant Steps ?,HUM,What,WP,nc,VBD,0,1,0,0,0
Who developed the first polio vaccine ?,HUM,Who,WP,ROOT,VBD,0,0,0,0,1
Who made the first gas engine ?,HUM,Who,WP,ROOT,VBD,0,0,0,0,1
What character did Tex Avery first create upon arriving at MGM ?,HUM,What,WDT,np,VBP,0,1,0,0,1
What Asian spiritual and political leader was married at the age of 13 ?,HUM,What,WDT,np,VBN,1,0,0,1,0
What English queen had seventeen children ?,HUM,What,WP,np,VBD,0,0,1,0,0
What two baseball players make up the battery ?,HUM,What,WP,np,VBP,0,0,0,0,1
Who sells Viagra ?,HUM,Who,WP,ROOT,VBZ,0,0,1,0,0
Who was Darius ?,HUM,Who,WP,ROOT,VBD,1,0,0,0,0
Who did Dita Beard work for ?,HUM,Who,WP,aux,VB,1,0,0,0,0
Name the university of which Woodrow Wilson was president .,HUM,Name,VB,np,VB,1,0,0,0,0
What university was Woodrow Wilson President of ?,HUM,What,WDT,np,VBD,1,0,0,0,0
Who served as inspiration for the schoolteacher portrayed by Robin Williams in '' Dead Poets Society '' ?,HUM,Who,WP,ROOT,VBD,1,0,1,0,0
Name the five positions who are in the line of succession to the presidency .,HUM,Name,VB,np,VB,0,0,0,0,1
Which one of the original seven Mercury program astronauts did not fly on any of the Mercury flights ?,HUM,Which,WDT,np,VB,0,1,0,0,1
Who is the best known villain of the 165 Gunpowder Plot ?,HUM,Who,WP,ROOT,VBZ,0,0,0,0,1
What mustachioed comedian portrayed Frankie in North to Alaska ?,HUM,What,WP,np,VBN,1,1,0,0,0
Who is Nicolo Paganini ?,HUM,Who,WP,ROOT,VBZ,1,0,0,0,0
Who portrayed Dracula in Hammer Studios ' films ?,HUM,Who,WP,ROOT,VBD,1,0,0,0,0
Name the food company that traveled to Soviet Georgia to film a series of ads .,HUM,Name,VB,np,VB,1,1,0,0,0
What Japanese electronics company was named for a coastal city northeast of Tokyo ?,HUM,What,WP,np,VBN,1,1,0,0,0
What is the protagonist's name in Dostoevski's '' The Idiot '' ?,HUM,What,WP,ROOT,VBZ,1,0,1,0,0
What presidential press secretary dismissed Watergate as a third-rate burglary attempt ?,HUM,What,WDT,np,VBD,0,0,1,0,1
Who was Jean Nicolet ?,HUM,Who,WP,ROOT,VBD,1,0,0,0,0
Which of these are authors ?,HUM,Which,WDT,prep,VBP,0,0,0,0,0
Who was the original Humpty Dumpty ?,HUM,Who,WP,ROOT,VBD,1,0,0,0,0
Whose cupboard was bare ?,HUM,Whose,WP$,np,VBD,0,0,0,0,0
What's the name of Popeye's adopted son ?,HUM,What,WP,np,VBZ,0,1,0,0,0
Who invented the vacuum cleaner ?,HUM,Who,WP,ROOT,VBD,0,0,0,0,0
What 2th-century fictional character attends Pencey Prep School ?,HUM,What,WDT,np,VBZ,0,1,0,1,0
Who is the Voyager project manager ?,HUM,Who,WP,ROOT,VBZ,0,0,1,0,0
Which radio stations air the Jim Bohannon Radio Talk Show ?,HUM,Which,WDT,nc,VBP,0,0,0,0,0
What two commanders directed the forces in the Battle of El Alamein ?,HUM,What,WP,np,VBD,0,0,1,0,1
Name the creator of '' The Muppets '' .,HUM,Name,VB,np,VB,0,0,1,0,0
Who replies '' I know '' to Princess Leia's confession '' I love you '' in The Empire Strikes Back ?,HUM,Who,WP,ROOT,VBP,0,1,0,0,0
What is the name of the firm that makes Spumante ?,HUM,What,WP,ROOT,VBZ,1,0,0,0,0
Who won the 1967 Academy Award for Best Actor ?,HUM,Who,WP,ROOT,VBD,0,0,0,0,0
Name the first private citizen to fly in space .,HUM,Name,VB,np,VB,0,0,0,0,1
What was football star Elroy Hirsch's nickname ?,HUM,What,WP,ROOT,VBD,1,0,0,0,0
What singer sings '' Oh Boy '' ?,HUM,What,WDT,np,UH,0,0,0,0,0
What army's motto is Blood and Fire ?,HUM,What,WDT,np,VBZ,0,1,0,0,0
What count did Alexandre Dumas write about ?,HUM,What,WDT,np,VB,1,0,0,0,0
Who was the first Taiwanese President ?,HUM,Who,WP,ROOT,VBD,1,0,0,0,1
Who is Luke Skywalker's father ?,HUM,Who,WP,ROOT,VBZ,1,0,0,0,0
What is the first personal computer company ?,HUM,What,WP,ROOT,VBZ,0,0,0,0,1
Who was Jane Goodall ?,HUM,Who,WP,ROOT,VBD,1,0,0,0,0
Which Vietnamese terrorist is now a UN delegate in Doonesbury ?,HUM,Which,WDT,np,VBZ,1,1,0,0,0
Who is the current prime minister and president of Russia ?,HUM,Who,WP,ROOT,VBZ,0,1,0,0,0
Who established a Viking colony in Greenland about 985 ?,HUM,Who,WP,ROOT,VBD,0,1,0,0,1
Who shot and killed himself while painting Wheatfield with Crows ?,HUM,Who,WP,ROOT,VBD,0,1,0,0,0
What future President became Senate majority whip under Harry Truman ?,HUM,What,WDT,np,VBD,1,1,0,0,0
Who was the architect of Central Park ?,HUM,Who,WP,ROOT,VBD,0,1,0,0,0
What was the Christian name of the title character in Our Miss Brooks ?,HUM,What,WP,ROOT,VBD,1,0,0,0,0
What hard-of hearing artist painted Sunflowers ?,HUM,What,WDT,np,VBN,0,0,0,0,0
Who were the Yankee's frequent enemies ?,HUM,Who,WP,ROOT,VBD,1,0,0,0,0
Who wrote Sons and Lovers ?,HUM,Who,WP,ROOT,VBD,0,1,0,0,0
What Cherokee Indian gave his name to a tree ?,HUM,What,WP,np,VBD,1,0,1,0,0
Who was the star of Leave It to Beaver ?,HUM,Who,WP,ROOT,VBD,0,0,0,0,0
What was William F. Cody's better-known name ?,HUM,What,WP,ROOT,VBD,1,0,0,0,0
Who did Richard Nixon tender his resignation to ?,HUM,Who,WP,aux,VB,1,0,0,0,0
Who was Thucydides ?,HUM,Who,WP,ROOT,VBD,1,0,0,0,0
Which of the following rock 'n roll stars has a '' star '' on Hollywood Boulevard ?,HUM,Which,WDT,prep,VBZ,0,0,0,0,0
Who took over as conductor of the Boston Pops after Arthur Fiedler's long reign ?,HUM,Who,WP,ROOT,VBD,1,1,0,0,0
What Nazi leader killed himself in jail just before he was to be executed as a war criminal ?,HUM,What,WP,nc,VBD,1,0,0,0,0
Which company claimed to be '' the world's biggest toy store '' ?,HUM,Which,WDT,np,VBD,0,0,0,0,0
Who is the fastest guitarist ?,HUM,Who,WP,ROOT,VBZ,0,0,0,0,0
Who betrayed Norway to the Nazis ?,HUM,Who,WP,ROOT,VBD,1,1,0,0,0
Who took the toys donated for the Doodyville Orphans ' Fund and kept them for himself ?,HUM,Who,WP,ROOT,VBD,0,1,0,0,0
Who were the Picts ?,HUM,Who,WP,ROOT,VBD,1,0,0,0,0
Who is stationed at Camp Swampy in the comic strips ?,HUM,Who,WP,auxpass,VBN,0,0,0,0,0
What actor dressed up as Santa Claus and had a once-a-year affair with actress Shelley Winters every Christmas for many years ?,HUM,What,WDT,np,VBD,1,0,0,1,0
Who wrote The Look of Love after viewing Ursula Andress ?,HUM,Who,WP,ROOT,VBD,0,1,1,0,0
What is the name of the American swimmer who won seven gold medals in the 1972 Olympics ?,HUM,What,WP,ROOT,VBZ,1,0,1,1,1
Who claims to have the greatest show on earth ?,HUM,Who,WP,ROOT,VBZ,0,0,0,0,0
What Honeymooners actress did Television magazine name as 1953's most promising star ?,HUM,What,WP,nc,VBD,1,1,0,1,0
What kind of organization is ' Last Chance for Animals ' ?,HUM,What,WDT,np,VBZ,0,0,0,0,0
What was the role of the Medieval Guild ?,HUM,What,WP,ROOT,VBD,0,1,0,0,0
Silly putty was invented by whom ?,HUM,Silly,JJ,np,VBN,0,0,0,0,0
Who invented the paper clip ?,HUM,Who,WP,ROOT,VBD,0,0,0,0,0
Whom did Lauren Bacall marry after her husband Humphrey Bogart died ?,HUM,Whom,WP,aux,VB,1,1,0,0,0
What composer was awarded the Medal of Honor by Franklin D. Roosevelt ?,HUM,What,WDT,np,VBN,1,0,0,0,0
Who is the composer of '' Canon in D Major '' ?,HUM,Who,WP,ROOT,VBZ,0,0,1,0,0
Who was the author of the novel '' Far From the Madding Crowd '' ?,HUM,Who,WP,ROOT,VBD,0,0,1,0,0
What department store heir is responsible for raising a three-ton safe from the underwater wreckage of the Andrea Doria ?,HUM,What,WDT,nc,VBZ,0,1,0,0,1
Who was Camp David named for ?,HUM,Who,WP,auxpass,VBD,0,0,0,0,0
Who portrayed '' the man without a face '' in the movie of the same name ?,HUM,Who,WP,ROOT,VBD,0,0,0,0,0
Who won the first World Series ?,HUM,Who,WP,ROOT,VBD,0,0,1,0,1
Who is Samuel Pickering ?,HUM,Who,WP,ROOT,VBZ,1,0,0,0,0
What was the business of the animated Sky Hawks ?,HUM,What,WP,ROOT,VBD,0,1,0,0,0
Who was credited with saying : '' I never met a man I did n't like '' ?,HUM,Who,WP,auxpass,VBN,0,0,0,0,0
What organization has a Security Council ?,HUM,What,WDT,np,VBZ,0,1,0,0,0
What Mexican leader was shot dead in 1923 ?,HUM,What,WP,np,VBN,1,0,0,1,0
What female painter produced primitives of rural New England life ?,HUM,What,WDT,np,VBD,0,1,0,0,0
What are names of two old men who appear in the serial tv Muppets Show ?,HUM,What,WP,ROOT,VBP,0,0,1,0,1
Who created Big Ben ?,HUM,Who,WP,ROOT,VBD,0,0,0,0,0
Name the Marvel team loosely based on DC's Justice League of America ?,HUM,Name,VB,np,VB,0,1,0,0,0
What college football team did Knute Rockne build into a power ?,HUM,What,WDT,nc,VB,0,1,0,0,0
In what high-risk business venture did Jimmy the Greek bet and lose ?,HUM,In,IN,np,NN,1,0,1,0,0
What fruit-topped actress was known as The Brazilian Bombshell ?,HUM,What,WDT,np,VBN,0,0,0,0,0
Who played the title role in My Favorite Martian ?,HUM,Who,WP,ROOT,VBD,0,0,0,0,0
Who invented the game Scrabble ?,HUM,Who,WP,ROOT,VBD,0,1,0,0,0
What group starred in the movie Rock Around the Clock ?,HUM,What,WDT,np,VBD,0,1,0,0,0
What is Nathan Hamill's role in the new Star Wars prequel ?,HUM,What,WP,ROOT,VBZ,1,0,0,0,0
What New York Yankee was known as The Iron Horse ?,HUM,What,WP,np,VBN,0,1,0,0,0
Who is considered The First Lady of the American Stage ?,HUM,Who,WP,auxpass,VBN,0,1,0,0,0
Who penned : '' Neither a borrower nor a lender be '' ?,HUM,Who,WP,ROOT,VB,0,0,0,0,0
Who headed Hitler's infamous Gestapo ?,HUM,Who,WP,ROOT,VBD,1,0,0,0,0
What is a person called that likes fire ?,HUM,What,WP,ROOT,VBZ,0,0,0,0,0
Name a South African diamond producer ?,HUM,Name,VB,np,VB,1,0,0,0,0
Who made the musical plea Be True to Your School ?,HUM,Who,WP,ROOT,VBD,0,0,0,0,0
What French designer declared : '' The jean is the destructor ! It is a dictator ! It is destroying creativity. The jean must be stopped ! '' ?,HUM,What,WP,np,VBN,1,0,0,0,0
Name a band which was famous in the 1960's .,HUM,Name,VB,np,VB,0,0,0,1,0
What comedian was banned from the Ed Sullivan Show for allegedly making an obscene gesture at the show's host ?,HUM,What,WP,np,VBN,0,1,0,0,0
What Apollo 11 astronaut minded the store while Armstrong and Aldrin made history ?,HUM,What,WP,np,VBD,1,1,0,0,0
What Good Little Witch is Casper's girlfriend ?,HUM,What,WP,np,VBZ,0,1,0,0,0
Who made Stonehenge ?,HUM,Who,WP,ROOT,VBD,0,1,0,0,0
Who's the founder and editor of The National Review ?,HUM,Who,WP,ROOT,VBZ,0,1,0,0,0
Who was the first governor of West Virginia ?,HUM,Who,WP,ROOT,VBD,0,1,0,0,1
What culture developed the idea of potlatch ?,HUM,What,WDT,np,VBD,0,0,0,0,0
What baseball team became the Minnesota Twins ?,HUM,What,WDT,nc,VBD,0,1,0,0,0
What is Michael Jackson's middle name ?,HUM,What,WP,ROOT,VBZ,1,0,0,0,0
Who was the first woman to fly solo across the Atlantic ?,HUM,Who,WP,ROOT,VBD,0,1,0,0,1
Who started the Dominos Pizza chain ?,HUM,Who,WP,ROOT,VBD,0,1,0,0,0
Which NBA players had jersey number 0 ?,HUM,Which,WDT,nc,VBD,0,1,0,0,1
What chocolate company gives you a one-pound kiss ?,HUM,What,WDT,nc,VBZ,0,0,0,0,1
Name Randy Craft's lawyer .,HUM,Name,NNP,nc,NN,1,0,0,0,0
What is the best distance education university or college ?,HUM,What,WP,ROOT,VBZ,0,0,0,0,0
What is a person called that likes fire ?,HUM,What,WP,ROOT,VBZ,0,0,0,0,0
Who portrayed Vincent Van Gogh in Lust for Life ?,HUM,Who,WP,ROOT,VBD,1,0,0,0,0
Who was known as the Time Master in comic books ?,HUM,Who,WP,auxpass,VBN,0,0,0,0,0
Who is the father of the computer ?,HUM,Who,WP,ROOT,VBZ,0,0,0,0,0
Who said : '' Old soldiers never die ; they just fade away '' ?,HUM,Who,WP,ccomp,VBP,0,0,0,0,0
What National League baseball team employed 72 third baseemen in its first 2 seasons ?,HUM,What,WP,nc,VBD,0,1,0,1,1
Who's the only man to have won the Olympic decathlon twice ?,HUM,Who,WP,ROOT,VBZ,0,0,0,0,0
What is the name of Miss India 1994 ?,HUM,What,WP,ROOT,VBZ,0,1,0,1,0
Who was the second man to walk on the moon ?,HUM,Who,WP,ROOT,VBD,0,0,0,0,1
What major Victorian novelist spent as much time working for the post office as he did writing ?,HUM,What,WDT,np,VBD,1,0,0,0,0
The major league baseball team in Pittsburgh is called what ?,HUM,The,DT,np,VBN,0,1,0,0,0
Who is the Pope ?,HUM,Who,WP,ROOT,VBZ,0,0,0,0,0
What's the most common surname in America ?,HUM,What,WP,ROOT,VBZ,0,1,0,0,0
Who is Imam Hussain Ben Ali whom Shia people believe in ?,HUM,Who,WP,ROOT,VBZ,1,0,0,0,0
Who was William Henry Harrison ?,HUM,Who,WP,ROOT,VBD,1,0,0,0,0
Who was the first black performer to have his own network TV show ?,HUM,Who,WP,ROOT,VBD,0,0,0,0,0
What company uses the unfamiliar faces of its celebrity spokespeople to promote the use of its product ?,HUM,What,WDT,np,VBZ,0,0,0,0,0
Who directed The Wild Bunch ?,HUM,Who,WP,ROOT,VBD,0,1,0,0,0
What comedian was born Allen Stewart Konigsberg ?,HUM,What,WP,np,VBN,1,0,0,0,0
Who runs Andy Capp's favorite pub ?,HUM,Who,WP,ROOT,VBZ,1,0,0,0,0
What author of the Days of Our Lives Cookbook signed on in 198 as Liz Chandler in TV's Days of Our Lives ?,HUM,What,WDT,np,VBD,1,0,1,0,1
What President was assassinated by Charles J. Guiteau ?,HUM,What,WP,np,VBN,1,0,0,0,0
What comic of TV's golden age went by the motto '' Anything for a laugh '' ?,HUM,What,WDT,np,VBD,0,0,0,0,0
Who invented the game bowling ?,HUM,Who,WP,ROOT,VBD,0,0,0,0,0
What group kidnaped Patricia Hearst ?,HUM,What,WDT,np,VBD,1,0,0,0,0
Who is the creator of '' The Muppets '' ?,HUM,Who,WP,ROOT,VBZ,0,0,0,0,0
Which of the following celebrities started his show-biz career as a disc jockey ?,HUM,Which,WDT,prep,VBD,0,0,0,0,0
Who asked you to do the Loco-Motion with her in 1962 ?,HUM,Who,WP,ROOT,VBD,0,0,0,1,0
What is Drew Barrymore's middle name ?,HUM,What,WP,ROOT,VBZ,0,1,0,0,0
What is Supergirl's secret identity ?,HUM,What,WP,ROOT,VBZ,1,0,0,0,0
What court does Bob Woodward describe in The Brethren ?,HUM,What,WDT,np,VB,1,0,1,0,0
Who made the first surfboard ?,HUM,Who,WP,ROOT,VBD,0,0,0,0,1
What is the name of the police officer who tried to keep order in Top Cat's neighborhood ?,HUM,What,WP,ROOT,VBZ,0,0,0,0,0
Who is the Greek God of the Sea ?,HUM,Who,WP,ROOT,VBZ,1,1,0,0,0
What well-known music personality is the father of an adopted son named Hans Christian Henderson ?,HUM,What,WDT,np,VBZ,0,1,0,0,0
Who was the first woman governor of Wyoming ?,HUM,Who,WP,ROOT,VBD,0,1,0,0,1
What Green Bay Packers coach philosophized : '' There's nothing that stokes the fire like hate '' ?,HUM,What,WP,nc,VBD,0,1,0,0,0
What famous comedian recently tried without success to revive the play ?,HUM,What,WDT,np,VBD,0,0,0,0,0
